ID	Demand	x	y	Fcand	Fcost	Fcap
155	30	503991.9688	3847961.5	0	0	0
156	30	504182.5	3847961.5	0	0	0
157	30	503610.25	3848192.75	0	0	0
158	30	503801.2813	3848192.75	0	0	0
159	30	503991.9688	3848192.75	0	0	0
160	30	504182.4688	3848192.75	0	0	0
161	79	501321.875	3848423.75	0	0	0
162	79	501513.1875	3848423.75	0	0	0
163	79	501703.875	3848423.75	0	0	0
164	78	501893.9375	3848423.75	0	0	0
165	79	501321.9375	3847730.5	0	0	0
166	79	501513.1875	3847730.5	0	0	0
167	79	501703.875	3847730.5	0	0	0
168	78	501894	3847730.5	0	0	0
169	79	501321.9063	3847961.5	0	0	0
170	79	501513.1875	3847961.5	0	0	0
171	79	501703.875	3847961.5	0	0	0
172	78	501893.9688	3847961.5	0	0	0
173	79	501321.9063	3848192.75	0	0	0
174	79	501513.1875	3848192.75	0	0	0
175	79	501703.875	3848192.75	0	0	0
176	78	501893.9375	3848192.75	0	0	0
177	43	499796.2813	3848423.75	0	0	0
178	43	499987.8125	3848423.75	0	0	0
179	43	500178.4688	3848423.75	0	0	0
180	43	500368.3125	3848423.75	0	0	0
181	43	499796.2813	3847730.25	0	0	0
182	43	499987.8125	3847730.25	0	0	0
183	43	500178.4688	3847730.25	0	0	0
184	43	500368.3438	3847730.25	0	0	0
185	43	499796.2813	3847961.5	0	0	0
186	43	499987.8125	3847961.5	0	0	0
187	43	500178.4688	3847961.5	0	100000000	50000
188	43	500368.3438	3847961.5	0	0	0
189	43	499796.2813	3848192.75	0	0	0
190	43	499987.8125	3848192.75	0	0	0
191	43	500178.4688	3848192.75	0	0	0
192	43	500368.3438	3848192.75	0	0	0
193	30	497508.0938	3850504	0	0	0
194	29	497699.7188	3850504	0	0	0
195	29	497890.4063	3850504	0	0	0
196	29	498080.2188	3850504	0	0	0
197	30	497508.125	3850735.5	0	0	0
198	29	497699.7188	3850735.5	0	0	0
199	29	497890.4063	3850735.5	0	0	0
200	29	498080.25	3850735.5	0	0	0
201	30	497508.1563	3850966.5	0	0	0
202	29	497699.7188	3850966.5	0	0	0
203	29	497890.4063	3850966.5	0	0	0
204	29	498080.2813	3850966.5	0	0	0
205	29	497508.1875	3851197.5	0	0	0
206	29	497699.7188	3851197.5	0	0	0
207	29	497890.375	3851197.5	0	0	0
208	29	498080.2813	3851197.5	0	0	0
209	577	501321.75	3850504	0	100000000	90000
210	573	501513.1875	3850504	0	0	0
211	572	501703.875	3850504	0	0	0
212	567	501893.6875	3850504	0	0	0
213	576	501321.7188	3850735.5	0	0	0
214	571	501513.1875	3850735.5	0	0	0
215	571	501703.875	3850735.5	0	0	0
216	566	501893.6875	3850735.5	0	0	0
217	576	501321.7188	3850966.5	0	0	0
218	571	501513.1875	3850966.5	0	0	0
219	571	501703.875	3850966.5	0	0	0
220	566	501893.6563	3850966.5	0	0	0
221	574	501321.6875	3851197.5	0	0	0
222	569	501513.1875	3851197.5	0	0	0
223	570	501703.875	3851197.5	0	0	0
224	564	501893.625	3851197.5	0	0	0
225	639	505898	3850504.75	0	0	0
226	634	506089.3438	3850505	0	0	0
227	634	506280.0313	3850505	0	0	0
228	629	506469.9688	3850505	0	0	0
229	643	505897.9375	3850735.5	0	0	0
230	638	506089.375	3850735.5	0	0	0
231	638	506280.0313	3850735.5	0	0	0
232	632	506469.875	3850735.5	0	0	0
233	643	505897.875	3850966.75	0	0	0
234	638	506089.375	3850966.5	0	0	0
235	638	506280.0313	3850966.5	0	0	0
236	632	506469.8125	3850966.5	0	0	0
237	647	505897.8125	3851198.25	0	0	0
238	641	506089.375	3851198.5	0	0	0
239	642	506280.0625	3851198.5	0	0	0
240	635	506469.7188	3851198.5	0	0	0
241	74	509711.6563	3850506.5	0	0	0
242	74	509902.8438	3850506.5	0	0	0
243	74	510093.5	3850506.75	0	0	0
244	73	510283.5938	3850506.75	0	0	0
245	76	509711.5313	3850735.5	0	0	0
246	75	509902.8438	3850735.5	0	0	0
247	75	510093.5313	3850735.5	0	0	0
248	75	510283.4688	3850735.5	0	0	0
249	76	509711.4063	3850966.75	0	100000000	50000
250	75	509902.8438	3850966.5	0	0	0
251	75	510093.5313	3850966.5	0	0	0
252	75	510283.3438	3850966.5	0	0	0
253	77	509711.3125	3851200	0	0	0
254	77	509902.8438	3851200	0	0	0
255	77	510093.5313	3851200.25	0	0	0
256	76	510283.2188	3851200.25	0	100000000	50000
257	120	509710.4688	3852816	0	0	0
258	118	509902.8438	3852816	0	0	0
259	118	510093.5313	3852816	0	0	0
260	115	510282.3125	3852815.75	0	0	0
261	117	509710.6875	3852355.5	0	0	0
262	116	509902.8438	3852355.75	0	0	0
263	115	510093.5	3852355.75	0	0	0
264	113	510282.5625	3852355.75	0	0	0
265	120	509710.5625	3852584.75	0	0	0
266	118	509902.8438	3852584.75	0	0	0
267	118	510093.5313	3852584.75	0	100000000	50000
268	116	510282.4375	3852584.75	0	0	0
269	122	509710.3438	3853049	0	0	0
270	120	509902.8438	3853049.25	0	0	0
271	120	510093.5313	3853049.25	0	0	0
272	118	510282.1875	3853049.25	0	0	0
273	189	507422.5313	3852816	0	0	0
274	186	507614.75	3852816	0	0	0
275	186	507805.4375	3852816	0	0	0
276	183	507994.5625	3852816	0	0	0
277	187	507422.6875	3852354.5	0	0	0
278	184	507614.75	3852354.5	0	0	0
279	184	507805.4063	3852354.75	0	0	0
280	181	507994.75	3852354.75	0	0	0
281	189	507422.625	3852584.75	0	0	0
282	186	507614.75	3852584.75	0	0	0
283	186	507805.4375	3852584.75	0	0	0
284	183	507994.6563	3852584.75	0	0	0
285	191	507422.4375	3853048	0	0	0
286	188	507614.7813	3853048	0	0	0
287	188	507805.4375	3853048.25	0	0	0
288	185	507994.4688	3853048.25	0	0	0
289	698	505897.2813	3852816	0	0	0
290	688	506089.375	3852816	0	0	0
291	688	506280.0313	3852816	0	0	0
292	677	506469.1563	3852816	0	0	0
293	695	505897.4375	3852354	0	0	0
294	686	506089.3438	3852354	0	0	0
295	685	506280.0313	3852354	0	0	0
296	675	506469.3125	3852354.25	0	100000000	90000
297	698	505897.3438	3852584.75	0	0	0
298	688	506089.375	3852584.75	0	0	0
299	688	506280.0313	3852584.75	0	0	0
300	677	506469.2188	3852584.75	0	0	0
301	701	505897.2188	3853047.5	0	100000000	90000
302	691	506089.375	3853047.5	0	0	0
303	691	506280.0625	3853047.5	0	0	0
304	680	506469.0625	3853047.5	0	0	0
305	452	503609.3438	3852816	0	0	0
306	446	503801.2813	3852816	0	0	0
307	446	503991.9688	3852816	0	0	0
308	440	504181.375	3852816	0	0	0
309	452	503609.4375	3852353.25	0	0	0
310	446	503801.2813	3852353.5	0	0	0
311	446	503991.9375	3852353.5	0	0	0
312	441	504181.4688	3852353.5	0	0	0
313	451	503609.4063	3852584.75	0	0	0
314	446	503801.2813	3852584.75	0	0	0
315	446	503991.9688	3852584.75	0	0	0
316	440	504181.4375	3852584.75	0	0	0
317	451	503609.3125	3853046.75	0	0	0
318	445	503801.2813	3853047	0	100000000	90000
319	445	503991.9688	3853047	0	0	0
320	439	504181.3438	3853047	0	0	0
321	304	501321.5938	3852816	0	0	0
322	301	501513.1875	3852816	0	0	0
323	301	501703.875	3852816	0	0	0
324	298	501893.4375	3852816	0	0	0
325	303	501321.5938	3853046.5	0	0	0
326	300	501513.1875	3853046.5	0	0	0
327	305	501321.625	3852353	0	0	0
328	303	501513.1875	3852353	0	0	0
329	302	501703.875	3852353	0	0	0
330	299	501893.5	3852353	0	0	0
331	304	501321.5938	3852584.75	0	0	0
332	301	501513.1875	3852584.75	0	0	0
333	301	501703.875	3852584.75	0	0	0
334	298	501893.4688	3852584.75	0	0	0
335	300	501703.875	3853046.5	0	0	0
336	296	501893.4375	3853046.5	0	0	0
337	132	499796.375	3853046.5	0	0	0
338	131	499987.8125	3853046.5	0	0	0
339	131	500178.4688	3853046.5	0	0	0
340	129	500368.2188	3853046.5	0	0	0
341	133	499796.3438	3852353	0	0	0
342	132	499987.8125	3852353	0	0	0
343	132	500178.4688	3852353	0	0	0
344	131	500368.2188	3852353	0	0	0
345	132	499796.3438	3852584.75	0	0	0
346	131	499987.8125	3852584.75	0	0	0
347	131	500178.4688	3852584.75	0	0	0
348	130	500368.2188	3852584.75	0	0	0
349	132	499796.375	3852816	0	0	0
350	131	499987.8125	3852816	0	0	0
351	131	500178.4688	3852816	0	0	0
352	130	500368.2188	3852816	0	100000000	50000
353	99	497508.4688	3853046.75	0	0	0
354	98	497699.7188	3853046.75	0	0	0
355	98	497890.375	3853046.5	0	0	0
356	98	498080.4688	3853046.5	0	0	0
357	100	497508.375	3852353.25	0	0	0
358	99	497699.7188	3852353.25	0	100000000	50000
359	99	497890.4063	3852353.25	0	0	0
360	98	498080.4063	3852353	0	0	0
361	99	497508.4063	3852584.75	0	0	0
362	99	497699.7188	3852584.75	0	0	0
363	99	497890.4063	3852584.75	0	0	0
364	98	498080.4375	3852584.75	0	0	0
365	99	497508.4375	3852816	0	0	0
366	99	497699.7188	3852816	0	0	0
367	99	497890.4063	3852816	0	0	0
368	98	498080.4688	3852816	0	0	0
369	55	495983.25	3853047	0	0	0
370	55	496174.3125	3853047	0	0	0
371	55	496365	3853046.75	0	0	0
372	54	496555.25	3853046.75	0	0	0
373	55	495983.0938	3852353.5	0	0	0
374	55	496174.3438	3852353.5	0	0	0
375	55	496365	3852353.25	0	0	0
376	55	496555.1563	3852353.25	0	0	0
377	55	495983.1563	3852584.75	0	0	0
378	55	496174.3125	3852584.75	0	0	0
379	55	496365	3852584.75	0	0	0
380	54	496555.1875	3852584.75	0	0	0
381	55	495983.1875	3852816	0	0	0
382	55	496174.3125	3852816	0	0	0
383	55	496365	3852816	0	0	0
384	54	496555.2188	3852816	0	0	0
385	28	493695.3438	3853047.5	0	0	0
386	28	493886.2188	3853047.5	0	0	0
387	28	494076.9063	3853047.5	0	0	0
388	28	494267.3438	3853047.5	0	0	0
389	28	493695.125	3852354	0	0	0
390	27	493886.25	3852354	0	100000000	50000
391	27	494076.9063	3852354	0	0	0
392	27	494267.1563	3852354	0	0	0
393	28	493695.1875	3852584.75	0	0	0
394	28	493886.25	3852584.75	0	0	0
395	28	494076.9063	3852584.75	0	0	0
396	27	494267.2188	3852584.75	0	0	0
397	28	493695.25	3852816	0	0	0
398	28	493886.25	3852816	0	0	0
399	28	494076.9063	3852816	0	0	0
400	27	494267.2813	3852816	0	0	0
401	81	493696.0625	3855127.75	0	0	0
402	81	493886.25	3855127.75	0	0	0
403	81	494076.9063	3855127.75	0	0	0
404	82	494268	3855127.75	0	0	0
405	81	493696.1563	3855358.75	0	0	0
406	81	493886.25	3855358.75	0	0	0
407	81	494076.9063	3855358.75	0	0	0
408	82	494268.0625	3855358.75	0	0	0
409	81	493696.2188	3855589.75	0	0	0
410	81	493886.25	3855589.75	0	0	0
411	81	494076.9063	3855589.75	0	0	0
412	82	494268.1563	3855589.75	0	0	0
413	81	493696.3125	3855821	0	0	0
414	81	493886.2188	3855821	0	100000000	50000
415	81	494076.9063	3855821	0	0	0
416	82	494268.2188	3855821	0	0	0
417	59	497508.75	3855127	0	0	0
418	59	497699.7188	3855127	0	0	0
419	59	497890.4063	3855127	0	0	0
420	59	498080.6875	3855126.75	0	0	0
421	59	497508.7813	3855358.75	0	0	0
422	59	497699.7188	3855358.75	0	0	0
423	59	497890.4063	3855358.75	0	0	0
424	59	498080.7188	3855358.75	0	0	0
425	59	497508.8125	3855589.75	0	100000000	50000
426	59	497699.7188	3855589.75	0	0	0
427	59	497890.4063	3855589.75	0	0	0
428	59	498080.7188	3855589.75	0	0	0
429	58	497508.8438	3855820.25	0	0	0
430	58	497699.7188	3855820.25	0	0	0
431	58	497890.375	3855820.25	0	0	0
432	58	498080.75	3855820.25	0	0	0
433	155	501321.4375	3855126.75	0	0	0
434	153	501513.1875	3855126.75	0	0	0
435	153	501703.875	3855126.75	0	0	0
436	151	501893.1875	3855126.75	0	0	0
437	154	501321.4375	3855358.75	0	0	0
438	152	501513.1875	3855358.75	0	0	0
439	152	501703.875	3855358.75	0	0	0
440	150	501893.1563	3855358.75	0	0	0
441	154	501321.4063	3855589.75	0	0	0
442	152	501513.1875	3855589.75	0	100000000	50000
443	152	501703.875	3855589.75	0	0	0
444	150	501893.1563	3855589.75	0	0	0
445	153	501321.4063	3855820	0	0	0
446	151	501513.1875	3855820	0	0	0
447	151	501703.875	3855820.25	0	0	0
448	149	501893.125	3855820.25	0	0	0
449	86	505896.5625	3855127.75	0	0	0
450	84	506089.3438	3855127.75	0	0	0
451	84	506280.0313	3855127.75	0	0	0
452	82	506468.3125	3855128	0	0	0
453	87	505896.4688	3855358.75	0	0	0
454	85	506089.375	3855358.75	0	0	0
455	85	506280.0313	3855358.75	0	0	0
456	82	506468.2188	3855358.75	0	0	0
457	87	505896.4063	3855589.75	0	0	0
458	85	506089.375	3855589.75	0	0	0
459	85	506280.0313	3855589.75	0	0	0
460	82	506468.1563	3855589.75	0	0	0
461	87	505896.3438	3855821	0	0	0
462	85	506089.375	3855821	0	0	0
463	85	506280.0625	3855821.25	0	0	0
464	82	506468.0625	3855821.25	0	0	0
465	26	508187.0313	3848656.75	0	0	0
466	26	508377.4375	3848656.75	0	0	0
467	26	508568.125	3848656.75	0	0	0
468	26	508759.0625	3848656.75	0	0	0
469	27	508186.9375	3848886.25	0	0	0
470	27	508377.4688	3848886.25	0	0	0
471	27	508568.125	3848886.25	0	0	0
472	27	508758.9688	3848886.25	0	0	0
473	27	508186.8438	3849117.25	0	0	0
474	27	508377.4688	3849117.25	0	0	0
475	27	508568.125	3849117.25	0	0	0
476	27	508758.8438	3849117.25	0	0	0
477	27	508186.75	3849350.25	0	0	0
478	27	508377.4688	3849350.25	0	0	0
479	27	508568.125	3849350.25	0	0	0
480	27	508758.75	3849350.25	0	0	0
481	33	507424.1563	3848656.25	0	0	0
482	33	507614.75	3848656.5	0	0	0
483	33	507805.4063	3848656.5	0	0	0
484	33	507996.375	3848656.5	0	0	0
485	33	507424.0938	3848886.25	0	100000000	50000
486	33	507614.75	3848886.25	0	0	0
487	33	507805.4375	3848886.25	0	0	0
488	33	507996.2813	3848886.25	0	0	0
489	33	507424	3849117.25	0	0	0
490	33	507614.75	3849117.25	0	0	0
491	33	507805.4375	3849117.25	0	0	0
492	33	507996.1875	3849117.25	0	0	0
493	34	507423.9063	3849349.75	0	0	0
494	34	507614.7813	3849350	0	0	0
495	34	507805.4375	3849350	0	0	0
496	34	507996.0938	3849350	0	0	0
497	99	506661.4063	3848424.75	0	0	0
498	99	506852.0625	3848425	0	0	0
499	99	507042.75	3848425	0	0	0
500	99	507233.5938	3848425	0	0	0
501	96	506661.625	3847731.5	0	0	0
502	97	506852.0625	3847731.75	0	0	0
503	97	507042.7188	3847731.75	0	0	0
504	97	507233.875	3847731.75	0	0	0
505	98	506661.5625	3847961.5	0	0	0
506	98	506852.0625	3847961.5	0	0	0
507	98	507042.75	3847961.5	0	0	0
508	98	507233.7813	3847961.5	0	0	0
509	98	506661.4688	3848192.75	0	0	0
510	98	506852.0625	3848192.75	0	100000000	50000
511	98	507042.75	3848192.75	0	0	0
512	98	507233.6875	3848192.75	0	0	0
513	60	505135.7813	3848424.25	0	0	0
514	60	505326.6875	3848424.5	0	0	0
515	60	505517.3438	3848424.5	0	0	0
516	60	505708	3848424.5	0	0	0
517	59	505135.9688	3847731	0	0	0
518	59	505326.6563	3847731.25	0	0	0
519	59	505517.3438	3847731.25	0	0	0
520	59	505708.2188	3847731.25	0	0	0
521	60	505135.9063	3847961.5	0	0	0
522	60	505326.6875	3847961.5	0	0	0
523	60	505517.3438	3847961.5	0	0	0
524	60	505708.1563	3847961.5	0	0	0
525	60	505135.8438	3848192.75	0	0	0
526	60	505326.6875	3848192.75	0	0	0
527	60	505517.3438	3848192.75	0	0	0
528	60	505708.0625	3848192.75	0	0	0
529	103	506661.2813	3848656	0	0	0
530	103	506852.0625	3848656	0	0	0
531	103	507042.7188	3848656.25	0	0	0
532	103	507233.5	3848656.25	0	0	0
533	104	506661.2188	3848886.25	0	0	0
534	104	506852.0625	3848886.25	0	0	0
535	104	507042.75	3848886.25	0	0	0
536	104	507233.4063	3848886.25	0	0	0
537	105	506661.125	3849117.25	0	0	0
538	104	506852.0625	3849117.25	0	0	0
539	104	507042.75	3849117.25	0	0	0
540	104	507233.3125	3849117.25	0	0	0
541	106	506661.0625	3849349.5	0	0	0
542	105	506852.0625	3849349.5	0	0	0
543	105	507042.75	3849349.75	0	0	0
544	105	507233.25	3849349.75	0	0	0
545	243	505898.5938	3848655.75	0	0	0
546	243	506089.3438	3848655.75	0	0	0
547	243	506280.0313	3848656	0	0	0
548	242	506470.625	3848656	0	0	0
549	245	505898.5313	3848886.25	0	100000000	50000
550	245	506089.375	3848886.25	0	0	0
551	245	506280.0313	3848886.25	0	0	0
552	244	506470.5313	3848886.25	0	0	0
553	245	505898.4688	3849117.25	0	0	0
554	245	506089.375	3849117.25	0	0	0
555	245	506280.0313	3849117.25	0	0	0
556	244	506470.4688	3849117.25	0	0	0
557	247	505898.375	3849349.25	0	0	0
558	246	506089.375	3849349.25	0	0	0
559	247	506280.0625	3849349.25	0	0	0
560	246	506470.375	3849349.5	0	100000000	50000
561	208	505135.7188	3848655.5	0	0	0
562	207	505326.6563	3848655.5	0	0	0
563	207	505517.3438	3848655.75	0	0	0
564	206	505707.9063	3848655.75	0	0	0
565	209	505135.6563	3848886.25	0	0	0
566	208	505326.6875	3848886.25	0	0	0
567	208	505517.3438	3848886.25	0	0	0
568	208	505707.8438	3848886.25	0	0	0
569	209	505135.5938	3849117.25	0	0	0
570	208	505326.6875	3849117.25	0	0	0
571	208	505517.3438	3849117.25	0	0	0
572	207	505707.7813	3849117.25	0	0	0
573	210	505135.5313	3849349	0	0	0
574	209	505326.6875	3849349	0	0	0
575	209	505517.3438	3849349.25	0	0	0
576	208	505707.7188	3849349.25	0	0	0
577	49	504373.0938	3848424.25	0	0	0
578	49	504563.9688	3848424.25	0	0	0
579	49	504754.6563	3848424.25	0	100000000	50000
580	49	504945.125	3848424.25	0	0	0
581	49	504373.2188	3847731	0	0	0
582	49	504563.9688	3847731	0	0	0
583	49	504754.6563	3847731	0	0	0
584	49	504945.2813	3847731	0	0	0
585	49	504373.1875	3847961.5	0	0	0
586	49	504563.9688	3847961.5	0	0	0
587	49	504754.6563	3847961.5	0	0	0
588	49	504945.25	3847961.5	0	0	0
589	49	504373.125	3848192.75	0	0	0
590	49	504563.9688	3848192.75	0	0	0
591	49	504754.6563	3848192.75	0	0	0
592	49	504945.1875	3848192.75	0	0	0
593	65	502847.5	3848423.75	0	0	0
594	64	503038.5938	3848424	0	0	0
595	64	503229.25	3848424	0	0	0
596	64	503419.5313	3848424	0	0	0
597	64	502847.5938	3847730.5	0	0	0
598	64	503038.5938	3847730.5	0	0	0
599	64	503229.25	3847730.75	0	0	0
600	64	503419.6563	3847730.75	0	0	0
601	65	502847.5625	3847961.5	0	0	0
602	64	503038.5938	3847961.5	0	0	0
603	64	503229.25	3847961.5	0	0	0
604	64	503419.5938	3847961.5	0	0	0
605	65	502847.5	3848192.75	0	100000000	50000
606	64	503038.5938	3848192.75	0	0	0
607	64	503229.25	3848192.75	0	0	0
608	64	503419.5625	3848192.75	0	0	0
609	179	504373.0313	3848655.25	0	0	0
610	178	504563.9688	3848655.25	0	0	0
611	178	504754.6563	3848655.5	0	0	0
612	178	504945.0313	3848655.5	0	0	0
613	179	504372.9688	3848886.25	0	0	0
614	179	504563.9688	3848886.25	0	0	0
615	179	504754.6563	3848886.25	0	0	0
616	178	504945	3848886.25	0	0	0
617	180	504372.9063	3849117.25	0	0	0
618	179	504563.9688	3849117.25	0	0	0
619	179	504754.6563	3849117.25	0	0	0
620	178	504944.9375	3849117.25	0	0	0
621	180	504372.875	3849348.75	0	0	0
622	179	504563.9688	3849348.75	0	0	0
623	179	504754.6563	3849349	0	0	0
624	179	504944.875	3849349	0	0	0
625	160	503610.1563	3848655.25	0	0	0
626	159	503801.2813	3848655.25	0	0	0
627	159	503991.9375	3848655.25	0	0	0
628	159	504182.3438	3848655.25	0	0	0
629	161	503610.0938	3848886.25	0	0	0
630	160	503801.2813	3848886.25	0	0	0
631	160	503991.9688	3848886.25	0	100000000	50000
632	159	504182.2813	3848886.25	0	0	0
633	161	503610.0625	3849117.25	0	0	0
634	160	503801.2813	3849117.25	0	0	0
635	160	503991.9688	3849117.25	0	0	0
636	159	504182.25	3849117.25	0	0	0
637	161	503610.0313	3849348.75	0	0	0
638	160	503801.2813	3849348.75	0	0	0
639	160	503991.9688	3849348.75	0	0	0
640	159	504182.1875	3849348.75	0	0	0
641	295	502847.4375	3848655	0	0	0
642	293	503038.5938	3848655	0	0	0
643	293	503229.25	3848655	0	0	0
644	291	503419.4688	3848655	0	0	0
645	295	502847.4063	3848886.25	0	0	0
646	293	503038.5938	3848886.25	0	0	0
647	293	503229.25	3848886.25	0	0	0
648	292	503419.4375	3848886.25	0	0	0
649	295	502847.375	3849117.25	0	0	0
650	293	503038.5938	3849117.25	0	100000000	50000
